geno,condition,rack,day,rep,vial_ID,first_frame,last_frame,slope,intercept,r_value,p_value,std_err
OreR,Ex,b,2,3,OreR_Ex_b_4,52,104,2.4538,18.6885,0.9787,0.0,0.0446
OreR,Ex,b,2,3,OreR_Ex_b_5,53,105,1.9303,34.1043,0.9735,0.0,0.0393
OreR,Ex,b,2,3,OreR_Ex_b_6,80,132,2.7364,-44.3654,0.961,0.0,0.0682
OreR,Ex,b,2,3,OreR_Ex_b_all,58,110,1.9253,35.4995,0.9945,0.0,0.0176
OreR,Un,a,2,1,OreR_Un_a_1,54,106,2.8748,-5.4321,0.987,0.0,0.0405
OreR,Un,a,2,1,OreR_Un_a_2,2,54,4.0974,40.3592,0.9938,0.0,0.0398
OreR,Un,a,2,1,OreR_Un_a_3,17,69,2.1559,30.9029,0.9946,0.0,0.0195
OreR,Un,a,2,1,OreR_Un_a_4,5,57,1.7064,60.702,0.9583,0.0,0.0441
OreR,Un,a,2,1,OreR_Un_a_5,74,126,1.5957,31.1873,0.9845,0.0,0.0246
OreR,Un,a,2,1,OreR_Un_a_6,7,59,2.6165,44.1516,0.9838,0.0,0.0413
OreR,Un,a,2,1,OreR_Un_a_all,24,76,1.9624,52.3722,0.9964,0.0,0.0145
OreR,Un,a,2,2,OreR_Un_a_1,30,82,2.8179,27.7846,0.9956,0.0,0.0228
OreR,Un,a,2,2,OreR_Un_a_2,8,60,3.4129,47.0972,0.9837,0.0,0.0541
OreR,Un,a,2,2,OreR_Un_a_3,5,57,2.3227,22.6099,0.9885,0.0,0.0307
OreR,Un,a,2,2,OreR_Un_a_4,18,70,2.9610000000000003,10.5662,0.9918,0.0,0.033
OreR,Un,a,2,2,OreR_Un_a_5,48,100,2.6338,7.4494,0.9939,0.0,0.0254
OreR,Un,a,2,2,OreR_Un_a_6,26,78,2.8761,11.6067,0.9777,0.0,0.0534
OreR,Un,a,2,2,OreR_Un_a_all,2,54,2.4225,32.3923,0.9983,0.0,0.0124
OreR,Un,a,2,3,OreR_Un_a_1,1,53,1.7481,68.54,0.9624,0.0,0.0427
OreR,Un,a,2,3,OreR_Un_a_2,23,75,2.344,46.042,0.9843,0.0,0.0364
OreR,Un,a,2,3,OreR_Un_a_3,38,90,2.6285,26.4983,0.9767,0.0,0.0501
OreR,Un,a,2,3,OreR_Un_a_4,1,53,2.0744,61.4304,0.9624,0.0,0.0507
OreR,Un,a,2,3,OreR_Un_a_5,11,63,3.0904,34.4256,0.9829,0.0,0.0502
OreR,Un,a,2,3,OreR_Un_a_6,44,96,2.7137,3.6004,0.9183,0.0,0.1013
OreR,Un,a,2,3,OreR_Un_a_all,20,72,2.0393,55.0223,0.9953,0.0,0.0172
OreR,Un,b,2,1,OreR_Un_b_1,20,72,2.3992,32.4127,0.9863,0.0,0.0347
OreR,Un,b,2,1,OreR_Un_b_2,2,54,1.4822,48.2273,0.9562,0.0,0.0393
OreR,Un,b,2,1,OreR_Un_b_3,70,122,2.303,0.0582,0.9791,0.0,0.0414
OreR,Un,b,2,1,OreR_Un_b_4,12,64,1.7369,25.5454,0.9851,0.0,0.0262
OreR,Un,b,2,1,OreR_Un_b_5,0,52,2.2037,42.4524,0.9756,0.0,0.0429
OreR,Un,b,2,1,OreR_Un_b_6,23,75,2.2742,1.4013,0.9705,0.0,0.0489
OreR,Un,b,2,1,OreR_Un_b_all,1,53,1.6666,37.7299,0.9984,0.0,0.0083
OreR,Un,b,2,2,OreR_Un_b_1,7,59,3.8747,61.3403,0.9919,0.0,0.0428
OreR,Un,b,2,2,OreR_Un_b_2,0,52,1.8090000000000002,46.7341,0.9826,0.0,0.0296
OreR,Un,b,2,2,OreR_Un_b_3,0,52,1.2851,49.4824,0.9742,0.0,0.0258
OreR,Un,b,2,2,OreR_Un_b_4,23,75,2.1781,54.9065,0.9736,0.0,0.0442
OreR,Un,b,2,2,OreR_Un_b_5,3,55,2.7197,37.5268,0.9940000000000001,0.0,0.0259
OreR,Un,b,2,2,OreR_Un_b_6,0,52,2.2284,68.3048,0.9785,0.0,0.0406
OreR,Un,b,2,2,OreR_Un_b_all,1,53,2.3374,54.2572,0.9961,0.0,0.0178
OreR,Un,b,2,3,OreR_Un_b_1,17,69,2.8651,10.3265,0.9945,0.0,0.0262
OreR,Un,b,2,3,OreR_Un_b_2,0,52,2.2557,43.1004,0.9706,0.0,0.0484
OreR,Un,b,2,3,OreR_Un_b_3,17,69,2.3544,37.5693,0.9735,0.0,0.0479
OreR,Un,b,2,3,OreR_Un_b_4,1,53,2.6351,29.2733,0.9909,0.0,0.0311
OreR,Un,b,2,3,OreR_Un_b_5,55,107,1.7228,63.7435,0.972,0.0,0.0361
OreR,Un,b,2,3,OreR_Un_b_6,0,52,2.5797,42.5322,0.9690000000000001,0.0,0.0569
OreR,Un,b,2,3,OreR_Un_b_all,11,63,2.2952,40.2232,0.9965,0.0,0.0166
SiI,Ex,a,2,1,SiI_Ex_a_1,13,65,0.8372,22.0054,0.9499,0.0,0.0239
SiI,Ex,a,2,1,SiI_Ex_a_2,43,95,1.6708,21.4973,0.9931,0.0,0.017
SiI,Ex,a,2,1,SiI_Ex_a_3,1,53,2.6587,24.4125,0.993,0.0,0.0273
SiI,Ex,a,2,1,SiI_Ex_a_4,39,91,1.6973,-11.3346,0.9798,0.0,0.03
SiI,Ex,a,2,1,SiI_Ex_a_5,0,52,0.9875,24.9861,0.9718,0.0,0.0208
SiI,Ex,a,2,1,SiI_Ex_a_6,6,58,1.3174,26.6147,0.9686,0.0,0.0293
SiI,Ex,a,2,1,SiI_Ex_a_all,7,59,1.2466,27.1411,0.9933,0.0,0.0126
SiI,Ex,a,2,2,SiI_Ex_a_1,42,94,0.5151,20.3722,0.8738,0.0,0.0248
SiI,Ex,a,2,2,SiI_Ex_a_2,36,88,1.107,17.4669,0.9735,0.0,0.0225
SiI,Ex,a,2,2,SiI_Ex_a_3,59,111,1.9619,48.8273,0.9484,0.0,0.0568
SiI,Ex,a,2,2,SiI_Ex_a_4,36,88,1.9751,-9.7211,0.9751,0.0,0.0389
SiI,Ex,a,2,2,SiI_Ex_a_5,70,122,2.6374,-43.3418,0.98,0.0,0.0464
SiI,Ex,a,2,2,SiI_Ex_a_6,36,88,1.9834,31.1609,0.9863,0.0,0.0287
SiI,Ex,a,2,2,SiI_Ex_a_all,35,87,1.4219,26.433000000000003,0.9906,0.0,0.017
SiI,Ex,a,2,3,SiI_Ex_a_1,81,133,1.9975,-26.6344,0.9839,0.0,0.0314
SiI,Ex,a,2,3,SiI_Ex_a_2,91,143,1.5503,14.7682,0.9439,0.0,0.0489
SiI,Ex,a,2,3,SiI_Ex_a_3,24,76,3.0194,15.3789,0.9941,0.0,0.0286
SiI,Ex,a,2,3,SiI_Ex_a_4,32,84,2.1139,17.0913,0.9825,0.0,0.0347
SiI,Ex,a,2,3,SiI_Ex_a_5,29,81,0.7509,76.1791,0.8325,0.0,0.0433
SiI,Ex,a,2,3,SiI_Ex_a_6,0,52,1.9575,35.8267,0.9817,0.0,0.0329
SiI,Ex,a,2,3,SiI_Ex_a_all,24,76,1.5226,40.384,0.9943,0.0,0.0142
SiI,Ex,b,2,1,SiI_Ex_b_1,84,136,1.0795,23.7196,0.9229999999999999,0.0,0.039
