,Mito,Condition,Vial_ID,Hour,Vial,slope,intercept,R_sq,p_value,stderr
21,Mau,Fatigued,Mau_Fatigued_2,6,2,0.0163207008113,-0.711405570442,0.987510186828,2.3361532524e-24,0.000374662616234
22,Mau,Fatigued,Mau_Fatigued_3,6,3,0.0169315876383,-0.20627744114,0.968945503752,1.31559491855e-19,0.000618734924513
23,Mau,Fatigued,Mau_Fatigued_4,6,4,0.0485546177169,-1.8380780884,0.923725738713,6.48197075966e-15,0.0028480158433
24,Mau,Rested,Mau_Rested_1,0,1,0.0177232260192,-0.0481416867121,0.910613712991,4.37794011605e-14,0.00113345820558
25,Mau,Rested,Mau_Rested_2,0,2,0.0167938089511,-0.457361405911,0.990603195015,7.67301827661e-26,0.000333874947062
26,Mau,Rested,Mau_Rested_3,0,3,0.012969244594,-0.171296692506,0.988451747391,9.11663273847e-25,0.000286147173828
27,Mau,Rested,Mau_Rested_4,0,4,0.0144563034048,-0.159726250574,0.968562309104,1.52445675442e-19,0.000531634517914
28,Mau,Rested,Mau_Rested_1,0,1,0.0168419144225,-0.288841183871,0.975217044645,8.75336015508e-21,0.000548039348143
29,Mau,Rested,Mau_Rested_2,0,2,0.011649302622,-0.181375042473,0.977324512984,3.01012941822e-21,0.000362203983514
30,Mau,Rested,Mau_Rested_3,0,3,0.0210410882988,-0.682762658063,0.927932789506,3.27429348305e-15,0.00119694218488
31,Mau,Rested,Mau_Rested_4,0,4,0.0118516122384,-0.297487820247,0.986856256322,4.31113534869e-24,0.000279192922067
32,Mau,Rested,Mau_Rested_1,0,1,0.0146211564882,-0.216987039073,0.953286405029,1.77911742137e-17,0.000660672226403
33,Mau,Rested,Mau_Rested_2,0,2,0.0173086017663,0.107661576753,0.981137509577,3.2984864583e-22,0.000489881389991
34,Mau,Rested,Mau_Rested_3,0,3,0.013545168726,-0.0607212674654,0.98620489009,7.70543009759e-24,0.000327007568967
35,Mau,Rested,Mau_Rested_4,0,4,0.0149090293339,-0.257135712004,0.979730354199,7.82649885577e-22,0.000437737291531
36,Mau,Rested,Mau_Rested_1,6,1,0.00990531542046,-0.497699153008,0.972390456214,3.20353278227e-20,0.000340699863937
37,Mau,Rested,Mau_Rested_2,6,2,0.00944061267937,-0.253768262025,0.99767815458,3.96074953132e-33,9.29642519716e-05
38,Mau,Rested,Mau_Rested_3,6,3,0.0113172095764,-0.974538152397,0.982146191678,1.70486906782e-22,0.000311466328112
39,Mau,Rested,Mau_Rested_4,6,4,0.0106948925562,-0.410407341364,0.943156071322,1.88463672768e-16,0.000535946039063
40,Mau,Rested,Mau_Rested_1,6,1,0.00847343142591,-0.284313876074,0.996137233449,1.78184143611e-30,0.000107706854452
41,Mau,Rested,Mau_Rested_2,6,2,0.0102958788035,-0.410556279044,0.993192446452,1.60167174583e-27,0.000173994944535
42,Mau,Rested,Mau_Rested_3,6,3,0.00981122902096,-0.356731386336,0.95956507935,3.13799675175e-18,0.000411110787583
43,Mau,Rested,Mau_Rested_4,6,4,0.00933518665835,-0.128894836198,0.980442684496,5.09306281162e-22,0.000269129249971
44,Mau,Rested,Mau_Rested_1,6,1,0.00860541050322,-0.116093164679,0.99124198964,3.2956416806e-26,0.00016511208185
45,Mau,Rested,Mau_Rested_2,6,2,0.0106479478875,-0.262855704717,0.992389778734,6.10393789031e-27,0.000190334623275
46,Mau,Rested,Mau_Rested_3,6,3,0.0128269167133,-0.794781431862,0.973956063562,1.58882501368e-20,0.000428154274794
47,Mau,Rested,Mau_Rested_4,6,4,0.00863864145633,-0.0144182261313,0.987748930614,1.85297520033e-24,0.000196382843477
48,OreR,Fatigued,OreR_Fatigued_1,0,1,0.0224010791015,-0.697947298461,0.819358306104,2.13195100971e-10,0.00214701652422
49,OreR,Fatigued,OreR_Fatigued_2,0,2,0.0141284079768,-0.0482444386523,0.949395705253,4.65533073454e-17,0.000665821267732
50,OreR,Fatigued,OreR_Fatigued_3,0,3,0.024957707324,-0.648912184912,0.961812089737,1.57839809247e-18,0.00101511886184
51,OreR,Fatigued,OreR_Fatigued_4,0,4,0.0175504906054,-0.277767109274,0.931373196134,1.81740765542e-15,0.000972453086932
